POPS_Number,Name,Street,Zipcode,Latitude,Longitude,Borough,Borocode,Type,Location,Open_Hours,Seating,Seating_and_Tables,Food_Service,Art,Restrooms,Special_Amenities,Special_Amenities_Description,Signage,Landscaping_Description,Landscaping,Physically_Disabled,Year_Completed,Construction_Status,Size_Required,Community Board,Developer,Building_Architect,Principal_Public_Space_Designer,XCoordinate,YCoordinate,Council District,Census Tract,BIN,BBL,NTA,Tax_Block_Number,Tax_Lot_Number
M010013,NULL,WALL STREET,10005,-74.006755,40.705244,Manhattan,1,Arcade; Plaza,"Bounded by Front, Water, and Wall Streets",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Arcade 2518.00 sf; Plaza 5933.20 sf,1,NULL,Emery Roth & Sons,Emery Roth & Sons,982377,196216,1,7,1000875,1000380001,Battery Park City-Lower Manhattan,38,1
M010060,NULL,WILLIAM STREET,10038,-74.006345,40.709112,Manhattan,1,Public Plaza,"Located on the block bounded by William Street, Fulton Street, Gold Street and John Street.",24 Hours,Yes,Yes,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees within Space,Yes,Full/Partial,0,Under Construction,Public Plaza 5317.00 sf,1,NULL,SHoP Architects,James Corner Field Operations; Weintraub Diaz LLC,982491,197625,1,15.02,1090562,0,Battery Park City-Lower Manhattan,,
K020012,BAM South,ASHLAND PLACE,11217,-73.978499,40.686202,Brooklyn,3,Public Open Space,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,None,0,NULL,NULL,2,Two Trees Management,Ten Arquitectos,NULL,990213,189279,35,35,3413885,3021107501,Fort Greene,2110,7501
Q140001,Rockaway Village,MOTT AVENUE,11691,-73.753022,40.605717,Queens,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Full/Partial,0,Under Construction,NULL,14,NULL,Marvel Architects,"W Architecture + Landscape Architecture, LLC",1052829,160052,31,1032.02,4000000,4155370001,Far Rockaway-Bayswater,15537,1
M010043,NULL,RECTOR STREET,10006,-74.014659,40.708631,Manhattan,1,Plaza,North side of Rector Street between Washington and West Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1971,Completed,Plaza 1420.31 sf,1,NULL,Warren & Wetmore/Russell M. Boak and Joseph Schafren,Warren & Wetmore/Russell M. Boak and Joseph Schafren,980186,197450,1,13,1088750,1000557501,Battery Park City-Lower Manhattan,55,7501
M080016,NULL,EAST 72 STREET,10021,-73.959739,40.768919,Manhattan,1,Plaza,South side of East 72nd Street between Second and Third Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1974,Completed,Plaza 1740.00 sf,8,NULL,Evans & Delehanty,Evans & Delehanty,995402,219417,4,126,1083342,1014260035,Lenox Hill-Roosevelt Island,1426,35
M050052,NULL,SIXTH AVENUE,10036,-73.981851,40.75682,Manhattan,1,Arcade; Plaza; Through Block Plaza,East side of Sixth Avenue between West 45th and 46th Streets,24 Hours; Restricted Hours,Yes,Yes,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1972,Completed,Arcade 4750.00 sf; Plaza 5759.50 sf; Through Block Plaza 17035.00 sf,5,Tishman Realty,Skidmore Owings & Merrill,Skidmore Owings & Merrill; Kliment & Halsband (for alteration in 1989); William Fellows Architect (for alteration in 2000 and 2003),989278,215007,4,96,1071414,1012617501,Midtown-Midtown South,1261,7501
M010037,Salomon Smith Barney,GREENWICH STREET,10013,-74.011003,40.720865,Manhattan,1,Plaza; Public Plaza,"Full block bounded by Greenwich, West, North Moore, and Hubert Streets",24 Hours,Yes,Yes,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1986,Completed,Plaza 22906.00 sf; Public Plaza 22787.00 sf,1,NULL,"Skidmore, Owings & Merrill; Kohn Pedersen Fox","Skidmore, Owings & Merrill; Kohn Pedersen Fox; Thomas Balsley (for alteration); James Corner Field Operations and Skidmore Owings & Merrill (for 2016 redesign)",981200,201907,1,39,1082816,1002160001,SoHo-TriBeCa-Civic Center-Little Italy,216,1
M080046,Wimbledon,EAST 82 STREET,10028,-73.955688,40.775905,Manhattan,1,Plaza,"Southeast corner of Third Avenue and East 82nd Street. Additional lots: 1527/41,43-45,47,48,146",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1980,Completed,Plaza 2536.00 sf,8,NULL,Schuman Lichtenstein Claman,Schuman Lichtenstein Claman,996523,221963,5,138,1048579,1015270045,Yorkville,1527,45
M060044,Dag Hammarskjold Tower,EAST 47 STREET,10017,-73.970433,40.752857,Manhattan,1,Non-Bonused Space; Residential Plaza,West side of Second Avenue between East 46th and 47th Streets,24 Hours; Restricted Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1982,Completed,Non-Bonused Space 0.00 sf; Residential Plaza 9638.56 sf,6,"R. H. Sanbar Projects, Inc.",Gruzen & Partners; Philip Birnbaum & Associates,M. Paul Friedberg & Partners; Raquel Ramati Associates (for alteration in 2003),992442,213564,4,90,1037607,1013207501,Turtle Bay-East Midtown,1320,7501
M050092,NULL,FIFTH AVENUE,10017,-73.980759,40.752999,Manhattan,1,Arcade,East side of Fifth Avenue between East 41st and 42nd Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Arcade 510.00 sf,5,NULL,Kahn and Jacobs,Kahn and Jacobs,989581,213615,4,82,1076266,1012760004,Murray Hill-Kips Bay,1276,4
M080064,NULL,EAST 80 STREET,10075,-73.951638,40.773206,Manhattan,1,Residential Plaza,"Full blockfront on east side of First Avenue between East 80th and 81st Streets. Additional lot: 1560/1,44.",Restricted Hours,Yes,No,No,Yes,No,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1980,Completed,Residential Plaza 5689.91 sf,8,80-81 and First Associates,Philip Birnbaum,Philip Birnbaum; Thomas Balsley Associates (for alteration),997645,220980,5,136,1050360,1015600001,Yorkville,1560,1
M040007,NULL,WEST 56 STREET,10019,-73.985054,40.766509,Manhattan,1,Arcade; Plaza,South side of West 56th Street between Eighth and Ninth Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1974,Completed,Arcade 4898.00 sf; Plaza 2603.00 sf,4,NULL,Schuman Lichtenstein & Claman,Schuman Lichtenstein & Claman,988390,218537,3,139,1025442,1010460047,Clinton,1046,47
M050068,Two Penn Plaza/Madison Square Garden,PENNSYLVANIA PLAZA,10121,-73.992132,40.749981,Manhattan,1,Plaza (C6-2); Plaza (C6-4),Full blocks between Seventh and Eighth Avenues and West 31st and 33rd Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1967,Completed,Plaza (C6-2) 18124.40 sf; Plaza (C6-4) 0.00 sf,5,"Tishman Realty & Construction Co.,  Inc.",Charles Luckman,Charles Luckman,986430,212515,3,101,1083026,1007810002,Midtown-Midtown South,781,2
M050101,United States Trust,WEST 47 STREET,10036,-73.983038,40.75814,Manhattan,1,Through Block Connection,South side of  West 47th Street between Sixth and Seventh Avenues,Restricted Hours,No,No,No,No,No,NULL,Lighting,Yes,NULL,NULL,Full/Partial,1989,Completed,Through Block Connection 3012.45 sf,5,The Durst Organization,Fox & Fowle Architects,Fox & Fowle Architects,988949,215488,4,125,1022667,1009990019,Midtown-Midtown South,999,19
M050083,1325 Avenue of the Americas,SIXTH AVENUE,10019,-73.980702,40.76288,Manhattan,1,Through Block Galleria,North side of  West 53rd Street and south side of West 54th Street between Sixth and Seventh Avenues,Restricted Hours,No,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,NULL,No,Full/Partial,1989,Completed,Through Block Galleria 6781.49 sf,5,Minskoff Equities/A. Taubman,Kohn Pedersen Fox,Kohn Pedersen Fox,989596,217215,4,131,1076175,1010060013,Midtown-Midtown South,1006,13
M050019,1370 Avenue of the Americas,SIXTH AVENUE,10019,-73.977471,40.763275,Manhattan,1,Plaza,Southeast corner of West 56th Street and Sixth Avenue,24 Hours,Yes,Yes,NULL,No,NULL,NULL,Lighting,Yes,Planting,Yes,Full/Partial,1971,Completed,Plaza 4449.00 sf,5,Peter Sharp,Emery Roth & Sons,Emery Roth & Sons; Thomas Balsley (for alteration),990491,217359,4,104,1034855,1012710071,Midtown-Midtown South,1271,71
M060024,Churchill,SECOND AVENUE,10016,-73.972838,40.748002,Manhattan,1,Plaza,East side of Second Avenue between East 39th and 40th Streets,24 Hours,Yes,No,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1966,Completed,Plaza 15898.66 sf,6,NULL,Philip Birnbaum,Philip Birnbaum,991776,211795,4,88,1022051,1009457501,Turtle Bay-East Midtown,945,7501
M060087,New Yorker East,EAST 58 STREET,10022,-73.961984,40.75847,Manhattan,1,Plaza,South side of East 58th Street between Sutton Place South and First Avenue,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1974,Completed,Plaza 2709.30 sf,6,NULL,Max Wechsler,Max Wechsler,994782,215610,5,106.01,1040554,1013690042,Turtle Bay-East Midtown,1369,42
M030002,citizenM Bowery,BOWERY,10002,-73.993499,40.720604,Manhattan,1,Public Plaza,East side of Bowery between Delancey Street and Rivington Street,24 Hours,Yes,Yes,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,2018,Completed,Public Plaza 3383.30 sf,3,OSIB-BCRE,The Stephen B. Jacobs Group,"The Stephen B. Jacobs Group, Abel Bainnson Butz, LLP",986052,201812,1,18,1090576,1004250004,Chinatown,425,4
M110004,East Harlem MECC,EAST 126 STREET,10035,-73.93422,40.804311,Manhattan,1,'Public Plaza',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,11,NULL,NULL,NULL,1002461,232316,8,242,1090333,1017910001,East Harlem North,1791,1
M060035,Architects and Designers,EAST 58 STREET,10155,-73.967924,40.761036,Manhattan,1,Plaza,South side of East 58th Street between Third and Lexington Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Plaza 3600.00 sf,6,NULL,Pomerance & Breines,Pomerance & Breines,993136,216544,4,112.03,1036915,1013120041,Turtle Bay-East Midtown,1312,41
M080082,NULL,EAST 70 STREET,10021,-73.960545,40.768406,Manhattan,1,Park-Like Open Space; Plaza; Variance Arcade,North side of East 70th Street between Second and Third Avenues,24 Hours; Restricted Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Full/Partial,1975,Completed,Park-Like Open Space 31196.00 sf; Plaza 2010.00 sf; Variance Arcade 4664.00 sf,8,211 East 70th Street Company,Emery Roth & Sons,Emery Roth & Sons,995179,219230,4,126,1043921,1014250005,Lenox Hill-Roosevelt Island,1425,5
M020004,NULL,JANE STREET,10014,-74.008596,40.738442,Manhattan,1,Park,Full blockfront on west side of Washington Street between Jane and Horatio Streets,Restricted Hours,No,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1999,Completed,Park 7000.00 sf,2,Strasbourg Realty and 101 Jane Street Company,Fox & Fowle,Marie L. Drews-D'Angelo,981868,208311,3,79,1085734,1006427502,West Village,642,7502
K020007,Forte,ASHLAND PLACE,11217,-73.978636,40.688253,Brooklyn,3,Residential Plaza,North of Fulton Street between Ashland Place and Rockwell Place,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,2007,Completed,Residential Plaza 3960.00 sf,2,The Clarett Group,FXFowle Architects,Sullivan Group Design,990175,190026,35,33,3393804,3020957502,Fort Greene,2095,7502
M060054,NULL,THIRD AVENUE,10022,-73.969196,40.757218,Manhattan,1,Arcade; Covered Pedestrian Space; Open Space; Public Circulation Space,East side of Third Avenue between East 52nd and 53rd Streets,24 Hours; Restricted Hours,Yes,Yes,Yes,No,Yes,NULL,Climate Control; Escalator; Food Service; Programs; Restrooms; Retail Frontage; Subway,Yes,Planting; Trees on Street,Yes,Full/Partial,1980,Completed,Arcade 620.00 sf; Covered Pedestrian Space 6975.00 sf; Open Space 0.00 sf; Public Circulation Space 0.00 sf,6,Madison Equities,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; David Kenneth Specter",992784,215153,4,98,1038517,1013260001,Turtle Bay-East Midtown,1326,1
M080025,Fairmont,EAST 75 STREET,10021,-73.956691,40.770262,Manhattan,1,Arcade; Landscaped Park; Plaza,Southeast corner of Second Avenue and East 75th Street,24 Hours; Restricted Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Full/Partial,1979,Completed,Arcade 1560.00 sf; Landscaped Park 0.00 sf; Plaza 8556.48 sf,8,Arwin East 74th Street Co.,Philip Birnbaum,Philip Birnbaum,996246,219907,5,134,1044925,1014490003,Lenox Hill-Roosevelt Island,1449,3
M010025,NULL,WATER STREET,10041,-74.009154,40.703183,Manhattan,1,Arcade; Elevated Plaza; Plaza,"Full block bounded by South Street, Water Street, Vietnam Veterans Plaza, and Old Slip",24 Hours; Closing for Events; Restricted Hours,Yes,Yes,Yes,No,NULL,NULL,Escalator; Food Service; Lighting; Programs; Retail Frontage,Yes,Planting; Trees within Space,Yes,Full/Partial,1970,Completed,Arcade 10254.00 sf; Elevated Plaza 41485.00 sf; Plaza 33307.00 sf,1,Uris 55 Water St. Corp.,Emery Roth & Sons,"M. Paul Friedberg & Partners; Rogers Marvel Architects, PLLC and Ken Smith (for alteration in 2004)",981712,195465,1,9,1083346,1000327501,Battery Park City-Lower Manhattan,32,7501
M050004,500 Park Tower,PARK AVENUE,10022,-73.970356,40.762894,Manhattan,1,Arcade; Sidewalk Widening; Urban Plaza,Southwest corner of Park Avenue and East 59th Street,24 Hours,No,No,NULL,No,NULL,NULL,Lighting; Retail Frontage,Yes,Planting; Trees on Street,Yes,Full/Partial,1984,Completed,Arcade 2695.00 sf; Sidewalk Widening 1173.40 sf; Urban Plaza 1479.00 sf,5,500 Park Avenue Associates,"James Stewart Polshek & Associates/Schuman Lichtenstein Claman & Efron/Skidmore, Owings & Merrill","James Stewart Polshek & Associates/Schuman Lichtenstein Claman & Efron/Skidmore, Owings & Merrill",992462,217221,4,112.02,1036084,1012940037,Midtown-Midtown South,1294,37
M080005,Phoenix,EAST 65 STREET,10065,-73.964391,40.765124,Manhattan,1,Plaza,Full blcokfront on west side of Third Avenue between East 64th and 65th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Plaza 6814.74 sf,8,NULL,Emery Roth & Sons,Emery Roth & Sons,994114,218034,4,120,1042369,1013990033,Upper East Side-Carnegie Hill,1399,33
M060084,Carlton Regency North,LEXINGTON AVENUE,10016,-73.978151,40.748033,Manhattan,1,Variance Arcade,Southeast corner of Lexington Avenue and East 37th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1974,Completed,Variance Arcade 3342.00 sf,6,NULL,Harry F. Green,Harry F. Green,990304,211806,4,80,1018978,1008920062,Murray Hill-Kips Bay,892,62
M060012,Crystal House,EAST 24 STREET,10010,-73.982513,40.739149,Manhattan,1,Plaza,Southeast corner of East 24th Street and Third Avenue,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Plaza 3079.22 sf,6,NULL,Clarence Lilien & Associates,Clarence Lilien & Associates,989096,208569,2,64,1019782,1009040050,Gramercy,904,50
X030001,NULL,BOONE AVENUE,10460,-73.884159,40.833607,Bronx,2,Publicly Accessible Open Areas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Completed,NULL,3,NULL,NULL,NULL,1016306,243004,17,157,2129027,2030147502,Crotona Park East,3014,7502
M080058,America,EAST 85 STREET,10028,-73.952051,40.776864,Manhattan,1,Residential Plaza,"Southeast corner of Second Avenue and East 85th Street. Additional lots: 1547/ 2, 3, 49, 104.",24 Hours,Yes,No,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1987,Completed,Residential Plaza 5300.00 sf,8,Ian Bruce Eichner,Murphy/Jahn,Murphy/Jahn,997530,222313,5,146.01,1078565,1015470049,Yorkville,1547,49
M080094,Strathmore,EAST 84 STREET,10028,-73.950164,40.775165,Manhattan,1,Residential Plaza,"Southeast corner of First Avenue and East 84th Street. Additional lots: 1563/1-4, 104, 147.",24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1989,Completed,Residential Plaza 7836.95 sf,8,NULL,C K Architect,C K Architect,998053,221694,5,136,1085139,1015630004,Yorkville,1563,4
M050009,NULL,WEST 58 STREET,10019,-73.976351,40.764458,Manhattan,1,Arcade; Plaza,South side of West 58th Street between Fifth and Sixth Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1968,Completed,Arcade 1500.00 sf; Plaza 4918.48 sf,5,NULL,Samuel Paul & Seymour Jarmul Architects,Samuel Paul & Seymour Jarmul Architects,990801,217790,4,112.01,1035078,1012737501,Midtown-Midtown South,1273,7501
M080032,NULL,FIFTH AVENUE,10075,-73.96315,40.777261,Manhattan,1,Arcade; Plaza,East side of Fifth Avenue between East 79th and 80th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1969,Completed,Arcade 1443.55 sf; Plaza 1386.18 sf,8,Bernard Spitzer,Wechsler & Schimenti,Wechsler & Schimenti,994456,222456,4,142,1046427,1014910004,Upper East Side-Carnegie Hill,1491,4
M050048,Stevens Tower,SIXTH AVENUE,10036,-73.982519,40.757899,Manhattan,1,Basement Concourse; Landscaped Pedestrian Plaza; Special Permit Plaza,Full blockfront on west side Sixth Avenue between  West 46th and 47th Streets,24 Hours,Yes,Yes,Yes,No,NULL,NULL,Escalator; Food Service; Lighting; Subway,No,Planting; Trees within Space; Water Feature,Yes,None,1970,Completed,Basement Concourse 0.00 sf; Landscaped Pedestrian Plaza 9991.29 sf; Special Permit Plaza 6138.08 sf,5,Fisher Brothers,Emery Roth & Sons,Emery Roth & Sons,989093,215400,4,125,1083717,1009990029,Midtown-Midtown South,999,29
M060018,Trump World Tower,FIRST AVENUE,10017,-73.96782,40.752562,Manhattan,1,Residential Plaza,West side of First Avenue between East 47th and 48th Streets,24 Hours,Yes,No,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,2000,Completed,Residential Plaza 6694.00 sf,6,Donald Trump/Daewoo,Costas Kondylis & Associates,Abel Bainnson Butz,993166,213457,4,90,1038909,1013407501,Turtle Bay-East Midtown,1340,7501
M040012,HFZ Plaza,ELEVENTH AVENUE,10011,-74.00742,40.7447,Manhattan,1,At-Grade Plaza,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,None,0,NULL,NULL,4,NULL,NULL,NULL,982194,210591,3,99,1089807,1006890017,Hudson Yards-Chelsea-Flatiron-Union Square,689,17
M010055,NULL,BEEKMAN STREET,10038,-74.00597,40.710451,Manhattan,1,Public Plaza,South side of Beekman Street between Nassau Street and William Street,24 Hours,Yes,Yes,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,2016,Completed,Public Plaza 3012.00 sf,1,Naftali Group and SL Green Realty,Gene Kaufman Architects,Thomas Balsley Architects,982595,198113,1,15.01,1089833,1000927501,Battery Park City-Lower Manhattan,92,7501
M060048,NULL,THIRD AVENUE,10017,-73.971406,40.754219,Manhattan,1,Arcade; Urban Plaza,Southeast corner of Third Avenue and East 48th Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Trees on Street; Trees within Space,Yes,Full/Partial,1981,Completed,Arcade 5067.74 sf; Urban Plaza 3065.50 sf,6,William Kaufman Organization,Fox & Fowle Architects,Fox & Fowle Architects,992172,214060,4,90,1037996,1013210047,Turtle Bay-East Midtown,1321,47
M060060,UNICEF House,UNITED NATIONS PLAZA,10017,-73.969853,40.750285,Manhattan,1,Urban Plaza,South side of East 44th Street between First and Second Avenues,Restricted Hours,Yes,Yes,NULL,Yes,NULL,NULL,Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1987,Completed,Urban Plaza 5025.00 sf,6,United Nations Development Corporation,Kevin Roche John Dinkeloo and Associates,Kevin Roche John Dinkeloo and Associates,992603,212627,4,88,1038670,1013360031,Turtle Bay-East Midtown,1336,31
M050064,One Penn Plaza,PENNSYLVANIA PLAZA,10119,-73.992374,40.751263,Manhattan,1,Arcade; Plaza,Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,24 Hours,Yes,Yes,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Trees within Space,Yes,Full/Partial,1972,Completed,Arcade 3822.00 sf; Plaza 50095.50 sf,5,Harry Helmsley & Larry Wien,Kahn and Jacobs,Kahn and Jacobs; Thomas Balsley Associates (for alteration in 2007); Zurita Architects (for alteration in 2010),986363,212982,3,101,1014387,1007830070,Midtown-Midtown South,783,70
M050113,NULL,BROADWAY,10001,-73.988935,40.745573,Manhattan,1,Public Plaza,NULL,24 Hours,Yes,Yes,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,0,Under Construction,Public Plaza 4184.00 sf,5,NULL,Rafael Vinoly Architects,Langan Architects,987316,210909,3,76,1000000,1008300024,Midtown-Midtown South,830,24
M050014,Trump Tower,FIFTH AVENUE,10022,-73.973894,40.762311,Manhattan,1,Covered Pedestrian Space; Landscaped Terraces; Passageway,East side of Fifth Avenue between East 56th and 57th Streets,Closing for Events; Restricted Hours,Yes,Yes,NULL,No,Yes,NULL,Climate Control; Elevator; Escalator; Lighting; Litter Receptacles; Restrooms; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1983,Completed,Covered Pedestrian Space 6626.00 sf; Landscaped Terraces 6336.00 sf; Passageway 0.00 sf,5,Donald Trump,Swanke Hayden Connell Architects,Swanke Hayden Connell Architects; Thomas Balsley Associates,991482,217008,4,112.02,1035794,1012927501,Midtown-Midtown South,1292,7501
M080040,Park Lane Towers,EAST 85 STREET,10028,-73.954732,40.778669,Manhattan,1,Plaza; Plaza- Connected Open Area,Full blockfront on west side of Third Avenue between East 85th and 86th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1966,Completed,Plaza 13655.00 sf; Plaza- Connected Open Area 2936.00 sf,8,NULL,H.I. Feldman,Arthur J. Klonsky,996787,222970,5,148.01,1047938,1015140039,Upper East Side-Carnegie Hill,1514,39
M050037,PaineWebber,SIXTH AVENUE,10019,-73.980533,40.761165,Manhattan,1,Pedestrian Circulation Space; Sidewalk Widening; Through Block Galleria; Urban Plaza,Full block bounded by Sixth and Seventh Avenues and West 51st and 52nd Streets,24 Hours; Restricted Hours,Yes,Yes,NULL,Yes,NULL,NULL,Drinking Fountain; Escalator; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1984,Completed,Pedestrian Circulation Space 0.00 sf; Sidewalk Widening 0.00 sf; Through Block Galleria 8185.96 sf; Urban Plaza 9944.10 sf,5,Equitable Life Assurance Society,"Skidmore, Owings & Merrill/Edward Larrabee Barnes Associates","Skidmore, Owings & Merrill/Edward Larrabee Barnes Associates",989643,216590,4,131,1023158,1010040029,Midtown-Midtown South,1004,29
M060092,East River Realty South,FIRST AVENUE,10016,-73.971941,40.744458,Manhattan,1,Public Access Area,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,6,JDS Development Group,"SHoP Architects, P.C.",SCAPE/LANDSCAPE ARCHITECTURE PLLC,992025,210504,4,86.01,1000000,1009670001,Turtle Bay-East Midtown,967,1
M060028,Cosmopolitan,EAST 48 STREET,10017,-73.972442,40.755138,Manhattan,1,Pedestrian Circulation Space; Urban Plaza,North side of East 48th Street between Third and Lexington Avenues,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1985,Completed,Pedestrian Circulation Space 0.00 sf; Urban Plaza 2760.83 sf,6,"William Zeckendorf, Jr.",The Gruzen Partnership,"Thomas Balsley Associates, Skordas Design Studio (Cafe cert 2015)",991885,214395,4,92,1036233,1013037501,Turtle Bay-East Midtown,1303,7501
M080009,Wellington Estates,EAST 62 STREET,10065,-73.965078,40.763016,Manhattan,1,Arcade; Plaza,Full blockfront on east side of Third Avenue between East 61st and 62nd Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1966,Completed,Arcade 504.00 sf; Plaza 6250.00 sf,8,200 East Realty Corporation,Harry F. Green,Harry F. Green,993924,217266,4,110,1043780,1014167501,Lenox Hill-Roosevelt Island,1416,7501
M050042,1251 Avenue of the Americas,SIXTH AVENUE,10020,-73.981612,40.759971,Manhattan,1,Plaza,West side of Sixth Avenue between West 49th and 50th Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1970,Completed,Plaza 29819.90 sf,5,NULL,Harrison and Abramovitz,Harrison and Abramovitz,989344,216155,4,125,1022706,1010027501,Midtown-Midtown South,1002,7501
M080001,Plaza Tower,EAST 60 STREET,10022,-73.968648,40.762812,Manhattan,1,Plaza,South side of East 60th Street between Lexington and Park Avenues,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1965,Completed,Plaza 6276.00 sf,8,NULL,Samuel Paul & Seymour Jarmul,Samuel Paul & Seymour Jarmul,992935,217191,4,114.02,1041902,1013940007,Upper East Side-Carnegie Hill,1394,7
